user_id,company_id,viewed,liked
user_2mePtBmb3vnaRfBBd3xjIZAhusY,5e3a7f160aa7a3270a54ce5f,,1
user_2mePtBmb3vnaRfBBd3xjIZAhusY,5e3a7f180aa7a3270a54e153,,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,5e3b92d6137e998b5aeaef28,1,0
user_2mePtBmb3vnaRfBBd3xjIZAhusY,5e3bbe2e00c8f4c9669e20d5,1,0
user_2mePtBmb3vnaRfBBd3xjIZAhusY,5e3bbe4200c8f4c9669e5145,1,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,61d575cadb415a1b7f0d0852,1,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,63eb90c21e6a68488a047256,1,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,65cf9875f76382b402613359,1,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,65f831d85c334ea553ecc68f,1,1
user_2mePtBmb3vnaRfBBd3xjIZAhusY,66a14948d84e76367f73405f,,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,66c8d190430a9306b8928ddd,1,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,6744b419b591d14065a99d0b,,
user_2mePtBmb3vnaRfBBd3xjIZAhusY,6785281f6c5e445f8bac9aed,1,0
user_2mePtBmb3vnaRfBBd3xjIZAhusY,67fd9876a65be417d556b62c,1,
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,5e3a7f240aa7a3270a558383,1,1
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,5e3a8f1a040ca7b0c6f04a0d,,0
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,60e6af547d096fb914e0bcc9,1,1
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,60e7372f7d096fb91417c0ee,1,
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,6164443bc3c073075bd1cc09,,0
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,6180f1c6ee1af0b5ab802ab1,,0
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,629cc237cf28682e15f6c7b6,1,1
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,63ec39541e6a68488a2a3e16,1,1
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,6494100111c3a8c65ac52861,,
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,65faec9a929463e5b82cb1a6,1,0
user_2wPGmM8C5BkvEi6hDZKk6gCAbcr,6627c2c68a4cc7ce0f085a2b,,0
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a7f150aa7a3270a54c531,,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a7f250aa7a3270a558a10,,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a7f2b0aa7a3270a55f2a7,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a8f19040ca7b0c6f03e69,,0
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a8f1a040ca7b0c6f04c91,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a8f1b040ca7b0c6f06e71,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3a8f1e040ca7b0c6f0af52,,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3b65e8ab6348f63cd9e7da,,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5e3bbcd400c8f4c9669a794e,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5eb38532dd18f7e0684b609e,1,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,5fd2d247165cb21392259f97,1,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,608fd7dadb60992662b34cec,1,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,6130b44a991d47f5fe227bc2,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,6183af20ee1af0b5abf1ac0a,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,62c2c6400405ea8a58c2c244,1,0
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,633e4ee2408ef7ae78d3a9e4,,0
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,637211a1aab093538ef525f4,,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,64883c7711c3a8c65af2224a,1,0
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,65fc0d3ba9a92ad111feafd3,1,
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,67fd9871d9420117d5a31fe1,1,1
user_2xlHrdH3oCU9C1GvVcGfRE43mmv,68363bf2115f8957c43ee53a,1,1
user_2yPtLMHQBE0KmP0txZrMKv6uRRd,5e3a7f150aa7a3270a54c7b3,,
user_2yPtLMHQBE0KmP0txZrMKv6uRRd,5e3a7f170aa7a3270a54d956,1,1
user_2yPtLMHQBE0KmP0txZrMKv6uRRd,5e3a8f1b040ca7b0c6f062e0,,1
user_2yPtLMHQBE0KmP0txZrMKv6uRRd,5e3a8f1c040ca7b0c6f081a8,1,
